id,real,modelo1_gini,modelo2_entropy,acertou_1?,acertou_2?,total_loss_usd
0,Alto,Alto,Alto,SIM,SIM,31973068.81
1,Baixo,Alto,Alto,NAO,NAO,13781694.84
2,Alto,Baixo,Baixo,NAO,NAO,94751644.84
3,Alto,Baixo,Baixo,NAO,NAO,22050977.84
4,Alto,Baixo,Baixo,NAO,NAO,84913571.12
5,Alto,Baixo,Baixo,NAO,NAO,23620609.43
6,Baixo,Alto,Alto,NAO,NAO,255360.01
7,Alto,Alto,Alto,SIM,SIM,55516418.52
8,Alto,Baixo,Baixo,NAO,NAO,285803107.07
9,Alto,Alto,Alto,SIM,SIM,37914466.01
10,Alto,Alto,Alto,SIM,SIM,157451926.15
11,Baixo,Baixo,Baixo,SIM,SIM,782911.1
12,Alto,Alto,Alto,SIM,SIM,83485011.28
13,Alto,Alto,Alto,SIM,SIM,1574754909.63
14,Baixo,Alto,Alto,NAO,NAO,15103657.3
15,Alto,Alto,Alto,SIM,SIM,32413937.28
16,Alto,Baixo,Baixo,NAO,NAO,21981396.73
17,Alto,Baixo,Baixo,NAO,NAO,19885256.53
18,Alto,Alto,Alto,SIM,SIM,22854732.32
19,Baixo,Alto,Alto,NAO,NAO,8035828.77
20,Baixo,Baixo,Baixo,SIM,SIM,4681317.81
21,Baixo,Baixo,Alto,SIM,NAO,9575639.8
22,Alto,Baixo,Baixo,NAO,NAO,18262796.52
23,Alto,Alto,Alto,SIM,SIM,34625411.17
24,Alto,Baixo,Baixo,NAO,NAO,25814745.97
25,Alto,Alto,Alto,SIM,SIM,46730137.49
26,Alto,Alto,Alto,SIM,SIM,49413924.29
27,Baixo,Baixo,Baixo,SIM,SIM,2700286.13
28,Alto,Baixo,Baixo,NAO,NAO,18613312.39
29,Baixo,Alto,Alto,NAO,NAO,3711297.25
30,Alto,Baixo,Baixo,NAO,NAO,107598779.07
31,Baixo,Baixo,Baixo,SIM,SIM,1650377.82
32,Baixo,Baixo,Baixo,SIM,SIM,4549375.38
33,Baixo,Baixo,Baixo,SIM,SIM,7033417.2
34,Baixo,Alto,Alto,NAO,NAO,13950225.32
35,Alto,Alto,Alto,SIM,SIM,55586095.53
