real,modelo1_gini,modelo2_entropy,acertou_1,acertou_2
1,1,1,1,1
0,1,1,0,0
1,0,0,0,0
1,0,0,0,0
1,1,1,1,1
1,0,0,0,0
0,1,1,0,0
1,1,1,1,1
1,0,0,0,0
1,1,1,1,1
1,1,1,1,1
0,0,0,1,1
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
1,1,1,1,1
1,0,0,0,0
1,1,0,1,0
1,1,1,1,1
0,1,1,0,0
0,0,0,1,1
0,0,0,1,1
1,0,0,0,0
1,1,1,1,1
1,1,0,1,0
1,1,1,1,1
1,1,1,1,1
0,1,1,0,0
1,0,0,0,0
0,1,1,0,0
1,1,1,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,1,1,0,0
1,1,1,1,1
1,0,0,0,0
0,0,0,1,1
1,0,0,0,0
0,0,0,1,1
1,1,0,1,0
1,0,1,0,1
0,1,1,0,0
0,0,1,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,1,0,0,1
1,0,0,0,0
0,1,1,0,0
1,1,1,1,1
1,0,0,0,0
1,0,0,0,0
0,0,0,1,1
1,0,0,0,0
0,0,0,1,1
0,0,0,1,1
1,0,0,0,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
1,0,0,0,0
0,0,1,1,0
0,1,1,0,0
1,0,0,0,0
1,0,0,0,0
0,1,0,0,1
0,0,0,1,1
1,0,0,0,0
1,0,0,0,0
1,0,1,0,1
0,0,0,1,1
1,0,0,0,0
1,0,0,0,0
0,0,1,1,0
0,1,0,0,1
1,1,0,1,0
0,0,1,1,0
1,0,0,0,0
0,1,0,0,1
0,0,0,1,1
1,0,0,0,0
0,0,1,1,0
1,0,0,0,0
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,1,1
1,1,1,1,1
1,0,0,0,0
1,1,1,1,1
0,0,0,1,1
0,0,0,1,1
0,1,0,0,1
0,0,0,1,1
1,0,0,0,0
0,0,0,1,1
0,1,1,0,0
0,0,0,1,1
1,1,1,1,1
0,0,0,1,1
0,0,1,1,0
0,0,0,1,1
1,1,1,1,1
1,0,0,0,0
0,0,0,1,1
1,1,1,1,1
1,0,1,0,1
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
1,0,1,0,1
0,1,1,0,0
1,0,0,0,0
0,0,0,1,1
1,1,1,1,1
1,0,0,0,0
0,0,0,1,1
0,1,1,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,1,1
1,1,0,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
0,1,1,0,0
1,1,1,1,1
0,0,0,1,1
0,0,0,1,1
0,1,1,0,0
0,0,0,1,1
0,0,1,1,0
0,0,0,1,1
0,0,0,1,1
0,0,0,1,1
1,1,1,1,1
1,0,0,0,0
0,0,1,1,0
1,0,0,0,0
0,0,0,1,1
1,0,0,0,0
0,1,0,0,1
1,1,1,1,1
1,0,0,0,0
1,1,0,1,0
1,1,1,1,1
1,0,0,0,0
0,0,0,1,1
1,1,0,1,0
0,0,0,1,1
1,0,0,0,0
0,0,0,1,1
1,0,0,0,0
1,0,0,0,0
