# Threshold (mediana): total_loss_usd > 16585984.09 = Alto Impacto
id,real,previsto,acertou?,total_loss_usd
0,Alto,Alto,SIM,31973068.81
1,Baixo,Alto,NAO,13781694.84
2,Alto,Baixo,NAO,94751644.84
3,Alto,Baixo,NAO,22050977.84
4,Alto,Baixo,NAO,84913571.12
5,Alto,Baixo,NAO,23620609.43
6,Baixo,Alto,NAO,255360.01
7,Alto,Alto,SIM,55516418.52
8,Alto,Baixo,NAO,285803107.07
9,Alto,Alto,SIM,37914466.01
10,Alto,Alto,SIM,157451926.15
11,Baixo,Baixo,SIM,782911.10
12,Alto,Alto,SIM,83485011.28
13,Alto,Alto,SIM,1574754909.63
14,Baixo,Alto,NAO,15103657.30
15,Alto,Alto,SIM,32413937.28
16,Alto,Baixo,NAO,21981396.73
17,Alto,Baixo,NAO,19885256.53
18,Alto,Alto,SIM,22854732.32
19,Baixo,Alto,NAO,8035828.77
20,Baixo,Baixo,SIM,4681317.81
21,Baixo,Alto,NAO,9575639.80
22,Alto,Baixo,NAO,18262796.52
23,Alto,Alto,SIM,34625411.17
24,Alto,Baixo,NAO,25814745.97
25,Alto,Alto,SIM,46730137.49
26,Alto,Alto,SIM,49413924.29
27,Baixo,Baixo,SIM,2700286.13
28,Alto,Baixo,NAO,18613312.39
29,Baixo,Alto,NAO,3711297.25
30,Alto,Baixo,NAO,107598779.07
31,Baixo,Baixo,SIM,1650377.82
32,Baixo,Baixo,SIM,4549375.38
33,Baixo,Baixo,SIM,7033417.20
34,Baixo,Alto,NAO,13950225.32
35,Alto,Alto,SIM,55586095.53
36,Alto,Baixo,NAO,161412130.79
37,Baixo,Alto,NAO,1117336.55
38,Alto,Baixo,NAO,19355979.35
39,Baixo,Alto,NAO,10274790.40
40,Alto,Baixo,NAO,99410739.50
41,Alto,Alto,SIM,25208061.97
42,Baixo,Baixo,SIM,2583392.34
43,Baixo,Baixo,SIM,14300872.28
44,Baixo,Baixo,SIM,8135885.41
45,Baixo,Baixo,SIM,5485861.85
46,Baixo,Baixo,SIM,4496987.51
47,Baixo,Alto,NAO,16543845.62
48,Alto,Baixo,NAO,38632807.40
49,Baixo,Alto,NAO,5405668.95
50,Alto,Alto,SIM,57984316.45
51,Alto,Baixo,NAO,36522557.03
52,Alto,Alto,SIM,89701048.32
53,Baixo,Baixo,SIM,1873084.22
54,Alto,Baixo,NAO,18553269.35
55,Baixo,Baixo,SIM,13328962.14
56,Baixo,Baixo,SIM,1072376.52
57,Alto,Baixo,NAO,23487242.53
58,Baixo,Baixo,SIM,5602581.07
59,Baixo,Baixo,SIM,979103.82
60,Baixo,Baixo,SIM,12845975.46
61,Baixo,Baixo,SIM,2487396.47
62,Alto,Baixo,NAO,38892329.09
63,Baixo,Baixo,SIM,4603235.52
64,Baixo,Baixo,SIM,5816592.88
65,Alto,Alto,SIM,47526413.03
66,Alto,Baixo,NAO,77723657.60
67,Baixo,Alto,NAO,3921524.08
68,Baixo,Baixo,SIM,309425.09
69,Alto,Baixo,NAO,16640381.00
70,Alto,Alto,SIM,40560931.60
71,Alto,Alto,SIM,41963468.38
72,Baixo,Baixo,SIM,712021.63
73,Alto,Baixo,NAO,29137877.69
74,Alto,Baixo,NAO,73900680.96
75,Baixo,Alto,NAO,1996427.86
76,Baixo,Alto,NAO,16530761.44
77,Alto,Baixo,NAO,78701426.24
78,Baixo,Alto,NAO,1532308.05
79,Alto,Baixo,NAO,41984310.21
80,Baixo,Alto,NAO,4465555.19
81,Baixo,Baixo,SIM,10034801.73
82,Alto,Baixo,NAO,67229021.09
83,Baixo,Alto,NAO,12717196.30
84,Alto,Baixo,NAO,628199540.31
85,Alto,Alto,SIM,16823447.78
86,Alto,Alto,SIM,189522816.72
87,Alto,Alto,SIM,1101133527.36
88,Baixo,Baixo,SIM,10515207.00
89,Alto,Alto,SIM,92602780.69
90,Alto,Baixo,NAO,22104786.99
91,Alto,Alto,SIM,433328103.83
92,Baixo,Baixo,SIM,9194486.91
93,Baixo,Alto,NAO,3524838.91
94,Baixo,Alto,NAO,6260466.37
95,Baixo,Baixo,SIM,5131601.90
96,Alto,Baixo,NAO,63698647.54
97,Baixo,Baixo,SIM,5530794.38
98,Baixo,Alto,NAO,16326150.26
99,Baixo,Baixo,SIM,14676115.17
100,Alto,Alto,SIM,40423078.69
101,Baixo,Baixo,SIM,3716421.77
102,Baixo,Baixo,SIM,14611756.92
103,Baixo,Baixo,SIM,1948821.14
104,Alto,Alto,SIM,44074232.20
105,Alto,Baixo,NAO,37050974.04
106,Baixo,Baixo,SIM,5267960.92
107,Alto,Baixo,NAO,260168941.27
108,Alto,Alto,SIM,21992851.37
109,Baixo,Alto,NAO,8386202.46
110,Baixo,Alto,NAO,5792320.55
111,Baixo,Baixo,SIM,12916386.63
112,Alto,Baixo,NAO,24511300.19
113,Baixo,Alto,NAO,3452827.71
114,Alto,Baixo,NAO,110562338.20
115,Baixo,Baixo,SIM,9765158.35
116,Alto,Alto,SIM,36362869.45
117,Alto,Baixo,NAO,28802127.04
118,Baixo,Baixo,SIM,1719611.14
119,Baixo,Alto,NAO,7791320.92
120,Alto,Baixo,NAO,27045009.96
121,Alto,Baixo,NAO,57701472.70
122,Baixo,Baixo,SIM,5129185.67
123,Alto,Alto,SIM,344453944.17
124,Baixo,Baixo,SIM,5168160.64
125,Baixo,Baixo,SIM,1903978.16
126,Baixo,Baixo,SIM,12558379.60
127,Baixo,Alto,NAO,8911780.97
128,Alto,Alto,SIM,234615401.15
129,Baixo,Baixo,SIM,13497135.46
130,Baixo,Alto,NAO,2652365.26
131,Baixo,Alto,NAO,10689863.60
132,Baixo,Baixo,SIM,12510000.47
133,Baixo,Alto,NAO,10743667.11
134,Baixo,Baixo,SIM,12348868.75
135,Baixo,Alto,NAO,11330023.03
136,Baixo,Baixo,SIM,1570004.58
137,Alto,Baixo,NAO,442315893.30
138,Alto,Baixo,NAO,22122510.43
139,Baixo,Baixo,SIM,13606559.01
140,Alto,Baixo,NAO,65396496.55
141,Baixo,Baixo,SIM,575963.76
142,Alto,Baixo,NAO,18224653.17
143,Baixo,Alto,NAO,14234493.82
144,Alto,Baixo,NAO,129382239.12
145,Alto,Baixo,NAO,22202510.52
146,Alto,Baixo,NAO,43608217.82
147,Alto,Alto,SIM,41817754.33
148,Alto,Baixo,NAO,27133119.36
149,Baixo,Baixo,SIM,11729779.57
150,Alto,Baixo,NAO,347784138.44
151,Baixo,Baixo,SIM,6610099.60
152,Alto,Alto,SIM,100276150.43
153,Baixo,Baixo,SIM,1029594.89
154,Alto,Alto,SIM,26564193.11
155,Alto,Baixo,NAO,203939033.17
